1,Cabbage - Green,Automotive,61.43,34
2,Nacho Chips,Clothing,88.48,81
3,Cucumber - English,Outdoors,95.48,29
4,Star Fruit,Toys,41.62,38
5,Appetizer - Smoked Salmon / Dill,Kids,89.29,27
6,"Juice - Tomato, 48 Oz",Toys,50.00,65
7,Wine - Valpolicella Masi,Health,41.67,2
8,Kiwi Gold Zespri,Electronics,91.81,85
9,Island Oasis - Lemonade,Books,78.63,56
10,Bread - White Mini Epi,Computers,69.99,74
11,Turnip - Wax,Industrial,32.46,15
12,Veal - Bones,Tools,18.89,59
13,Table Cloth 54x72 Colour,Games,86.64,11
14,Eggplant - Baby,Computers,7.05,97
15,Edible Flower - Mixed,Outdoors,33.74,77
16,Yoplait - Strawbrasp Peac,Baby,15.82,98
17,Steampan Lid,Home,45.94,87
18,Goat - Whole Cut,Garden,66.70,44
19,Broom - Angled,Music,69.30,72
20,Pork Loin Bine - In Frenched,Industrial,97.43,47
